path,start_line,end_line,kind,declared_purpose,actual_behavior,origin_alignment,utility,status,recommended_action,evidence
.cursorrules,1,180,stub,Scientific synthesis/adversarial review pipeline.,Contains placeholder/mock/TODO/not-implemented signals; behavior cannot be trusted as complete.,low,do not trust; replace or delete,incomplete,Replace with real implementation or mark non-production.,stub/mock/TODO keyword; core-term; completion-claim
.cursorrules,181,320,stub,Scientific synthesis/adversarial review pipeline.,Contains placeholder/mock/TODO/not-implemented signals; behavior cannot be trusted as complete.,low,do not trust; replace or delete,incomplete,Replace with real implementation or mark non-production.,stub/mock/TODO keyword; core-term
.env.dev,1,24,uncertain,Repository support code/documentation.,Unclear relation to core from automated scan; needs human review before preservation.,unknown,review manually,unknown,Manual review before expanding or deleting.,path classification: uncertain
.env.example,1,67,uncertain,Repository support code/documentation.,Unclear relation to core from automated scan; needs human review before preservation.,unknown,review manually,unknown,Manual review before expanding or deleting.,path classification: uncertain
.github/workflows/benchmarks.yml,1,3,uncertain,Repository support code/documentation.,Unclear relation to core from automated scan; needs human review before preservation.,unknown,review manually,unknown,Manual review before expanding or deleting.,path classification: uncertain
.github/workflows/benchmarks.yml,4,6,uncertain,Repository support code/documentation.,Unclear relation to core from automated scan; needs human review before preservation.,unknown,review manually,unknown,Manual review before expanding or deleting.,path classification: uncertain
.github/workflows/benchmarks.yml,7,9,uncertain,Repository support code/documentation.,Unclear relation to core from automated scan; needs human review before preservation.,unknown,review manually,unknown,Manual review before expanding or deleting.,path classification: uncertain
.github/workflows/benchmarks.yml,10,13,uncertain,Repository support code/documentation.,Unclear relation to core from automated scan; needs human review before preservation.,unknown,review manually,unknown,Manual review before expanding or deleting.,path classification: uncertain
.github/workflows/benchmarks.yml,14,17,uncertain,Repository support code/documentation.,Unclear relation to core from automated scan; needs human review before preservation.,unknown,review manually,unknown,Manual review before expanding or deleting.,path classification: uncertain
.github/workflows/benchmarks.yml,18,20,uncertain,Repository support code/documentation.,Unclear relation to core from automated scan; needs human review before preservation.,unknown,review manually,unknown,Manual review before expanding or deleting.,path classification: uncertain
.github/workflows/benchmarks.yml,21,23,uncertain,Repository support code/documentation.,Unclear relation to core from automated scan; needs human review before preservation.,unknown,review manually,unknown,Manual review before expanding or deleting.,path classification: uncertain
.github/workflows/benchmarks.yml,24,28,uncertain,Repository support code/documentation.,Unclear relation to core from automated scan; needs human review before preservation.,unknown,review manually,unknown,Manual review before expanding or deleting.,path classification: uncertain
.github/workflows/benchmarks.yml,29,31,uncertain,Repository support code/documentation.,Unclear relation to core from automated scan; needs human review before preservation.,unknown,review manually,unknown,Manual review before expanding or deleting.,path classification: uncertain
